,id,timestamp,src,dst,proto,sport,dport,length
500,3850,1759840403.191591,10.63.145.185,10.63.145.255,17,137,137,92
501,3849,1759840402.437586,10.63.145.185,10.63.145.255,17,137,137,92
502,3848,1759840401.67508,10.63.145.185,10.63.145.255,17,137,137,92
503,3847,1759840400.186222,,,0,0,0,86
504,3846,1759840400.186165,,,0,0,0,86
505,3845,1759840399.45026,,,0,60406,443,74
506,3844,1759840399.394682,,,0,443,60406,195
507,3843,1759840399.33848,,,0,443,63552,74
508,3842,1759840399.26492,,,0,63552,443,103
509,3841,1759840399.26422,,,0,443,63552,99
510,3840,1759840398.579402,,,0,443,57867,74
511,3839,1759840398.520884,,,0,57867,443,74
512,3838,1759840398.520381,,,0,57867,443,74
513,3837,1759840398.520249,,,0,443,57867,137
514,3836,1759840398.515808,,,0,443,53895,86
515,3835,1759840398.445357,,,0,53895,443,75
516,3834,1759840397.605487,,,0,57867,443,75
517,3833,1759840396.107749,,,0,443,58438,86
518,3832,1759840396.036315,,,0,58438,443,75
519,3831,1759840395.940911,,,0,64540,8883,74
520,3830,1759840395.939839,,,0,443,57866,74
521,3829,1759840395.886567,,,0,57866,443,74
522,3828,1759840395.885913,,,0,57866,443,74
523,3826,1759840395.885727,,,0,443,57866,137
524,3827,1759840395.885727,,,0,8883,64540,105
525,3825,1759840395.630701,,,0,64540,8883,105
526,3824,1759840395.622889,,,0,0,0,42
527,3823,1759840395.622844,,,0,0,0,42
528,3822,1759840395.583984,,,0,443,57866,86
529,3821,1759840395.541753,,,0,57866,443,75
530,3820,1759840394.035222,,,0,61972,443,75
531,3819,1759840391.890379,,,0,443,50947,86
532,3818,1759840391.842567,,,0,50947,443,75
533,3817,1759840391.380838,,,0,443,62946,128
534,3816,1759840390.521738,10.63.145.185,142.250.193.138,6,64526,443,54
535,3815,1759840390.467102,142.250.193.138,10.63.145.185,6,443,64526,150
536,3814,1759840390.203549,,,0,443,60434,86
537,3813,1759840390.170519,,,0,443,49761,76
538,3812,1759840390.100915,,,0,60434,443,91
539,3811,1759840389.743755,,,0,49761,443,109
540,3810,1759840389.741143,,,0,443,49761,177
